"Timecode","Clip Name","Lens Model","Lens Serial","Focal Length (mm)","Aperture","Focus Distance (ft)","Camera Tilt","Camera Roll","Camera Model"
"09:03:52:07","A032C003_2511017F"," 29 64959R CMot","","29","","22.999","0.7","-0.1","MPC-3626"
"09:03:52:08","A032C003_2511017F"," 29 64959R CMot","","29","","22.999","0.7","-0.1","MPC-3626"
"09:03:52:09","A032C003_2511017F"," 29 64959R CMot","","29","","22.802","0.6","-0.2","MPC-3626"
"09:03:52:10","A032C003_2511017F"," 29 64959R CMot","","29","","22.736","0.6","-0.2","MPC-3626"
"09:03:52:11","A032C003_2511017F"," 29 64959R CMot","","29","","22.638","0.6","-0.2","MPC-3626"
"09:03:52:12","A032C003_2511017F"," 29 64959R CMot","","29","","22.507","0.6","-0.2","MPC-3626"
"09:03:52:13","A032C003_2511017F"," 29 64959R CMot","","29","","22.277","0.6","-0.2","MPC-3626"
"09:03:52:14","A032C003_2511017F"," 29 64959R CMot","","29","","22.08","0.7","-0.1","MPC-3626"
"09:03:52:15","A032C003_2511017F"," 29 64959R CMot","","29","","21.982","0.7","-0.1","MPC-3626"
"09:03:52:16","A032C003_2511017F"," 29 64959R CMot","","29","","21.85","0.7","-0.1","MPC-3626"
"09:03:52:17","A032C003_2511017F"," 29 64959R CMot","","29","","21.588","0.7","-0.1","MPC-3626"
"09:03:52:18","A032C003_2511017F"," 29 64959R CMot","","29","","21.588","0.7","-0.1","MPC-3626"
"09:03:52:19","A032C003_2511017F"," 29 64959R CMot","","29","","21.391","0.6","-0.2","MPC-3626"
"09:03:52:20","A032C003_2511017F"," 29 64959R CMot","","29","","21.358","0.6","-0.2","MPC-3626"
"09:03:52:21","A032C003_2511017F"," 29 64959R CMot","","29","","21.293","0.6","-0.2","MPC-3626"
"09:03:52:22","A032C003_2511017F"," 29 64959R CMot","","29","","21.293","0.6","-0.1","MPC-3626"
"09:03:52:23","A032C003_2511017F"," 29 64959R CMot","","29","","21.194","0.6","-0.1","MPC-3626"
"09:03:53:00","A032C003_2511017F"," 29 64959R CMot","","29","","20.965","0.6","-0.2","MPC-3626"
"09:03:53:01","A032C003_2511017F"," 29 64959R CMot","","29","","20.768","0.6","-0.2","MPC-3626"
"09:03:53:02","A032C003_2511017F"," 29 64959R CMot","","29","","20.702","0.6","-0.2","MPC-3626"
"09:03:53:03","A032C003_2511017F"," 29 64959R CMot","","29","","20.374","0.6","-0.1","MPC-3626"
"09:03:53:04","A032C003_2511017F"," 29 64959R CMot","","29","","19.816","0.6","-0.1","MPC-3626"
"09:03:53:05","A032C003_2511017F"," 29 64959R CMot","","29","","19.423","0.7","-0.1","MPC-3626"
"09:03:53:06","A032C003_2511017F"," 29 64959R CMot","","29","","19.094","0.7","-0.1","MPC-3626"
"09:03:53:07","A032C003_2511017F"," 29 64959R CMot","","29","","18.963","0.7","-0.1","MPC-3626"
"09:03:53:08","A032C003_2511017F"," 29 64959R CMot","","29","","18.799","0.6","-0.2","MPC-3626"
"09:03:53:09","A032C003_2511017F"," 29 64959R CMot","","29","","18.766","0.6","-0.2","MPC-3626"
"09:03:53:10","A032C003_2511017F"," 29 64959R CMot","","29","","18.668","0.6","-0.1","MPC-3626"
"09:03:53:11","A032C003_2511017F"," 29 64959R CMot","","29","","18.504","0.6","-0.1","MPC-3626"
"09:03:53:12","A032C003_2511017F"," 29 64959R CMot","","29","","18.373","0.6","-0.1","MPC-3626"
"09:03:53:13","A032C003_2511017F"," 29 64959R CMot","","29","","18.209","0.7","-0.1","MPC-3626"
"09:03:53:14","A032C003_2511017F"," 29 64959R CMot","","29","","18.11","0.7","-0.1","MPC-3626"
"09:03:53:15","A032C003_2511017F"," 29 64959R CMot","","29","","17.946","0.7","-0.1","MPC-3626"
"09:03:53:16","A032C003_2511017F"," 29 64959R CMot","","29","","17.913","0.7","-0.1","MPC-3626"
"09:03:53:17","A032C003_2511017F"," 29 64959R CMot","","29","","17.815","0.7","-0.1","MPC-3626"
"09:03:53:18","A032C003_2511017F"," 29 64959R CMot","","29","","17.717","0.6","-0.1","MPC-3626"
"09:03:53:19","A032C003_2511017F"," 29 64959R CMot","","29","","17.421","0.6","-0.1","MPC-3626"
"09:03:53:20","A032C003_2511017F"," 29 64959R CMot","","29","","17.06","0.7","-0.1","MPC-3626"
"09:03:53:21","A032C003_2511017F"," 29 64959R CMot","","29","","16.535","0.7","-0.1","MPC-3626"
"09:03:53:22","A032C003_2511017F"," 29 64959R CMot","","29","","16.47","0.7","-0.1","MPC-3626"
"09:03:53:23","A032C003_2511017F"," 29 64959R CMot","","29","","16.273","0.6","-0.2","MPC-3626"
"09:03:54:00","A032C003_2511017F"," 29 64959R CMot","","29","","16.273","0.6","-0.2","MPC-3626"
"09:03:54:01","A032C003_2511017F"," 29 64959R CMot","","29","","16.109","0.6","-0.2","MPC-3626"
"09:03:54:02","A032C003_2511017F"," 29 64959R CMot","","29","","16.01","0.6","-0.2","MPC-3626"
"09:03:54:03","A032C003_2511017F"," 29 64959R CMot","","29","","15.781","0.6","-0.2","MPC-3626"
"09:03:54:04","A032C003_2511017F"," 29 64959R CMot","","29","","15.65","0.7","-0.2","MPC-3626"
"09:03:54:05","A032C003_2511017F"," 29 64959R CMot","","29","","15.551","0.7","-0.2","MPC-3626"
"09:03:54:06","A032C003_2511017F"," 29 64959R CMot","","29","","15.223","0.6","-0.1","MPC-3626"
"09:03:54:07","A032C003_2511017F"," 29 64959R CMot","","29","","15.092","0.6","-0.1","MPC-3626"
